Protein(s)	Protein Description(s)	Sequence Coverage	PSMs	NSAF	Distinct Peptides	Unique Peptides	Protein Group Number
WP_011041800.1,sp|Q487Q9.1|CH60_COLP3,AAZ25956.1	MULTISPECIES: chaperonin GroEL [Colwellia],RecName: Full=Chaperonin GroEL; AltName: Full=60 kDa chaperonin; AltName: Full=Chaperonin-60; Short=Cpn60,chaperone protein GroEL [Colwellia psychrerythraea 34H]	0.858	540	0.005	81	81	10
sp|Q487Z1.1|EFG1_COLP3,WP_011041724.1,AAZ25882.1	RecName: Full=Elongation factor G 1; Short=EF-G 1,elongation factor G [Colwellia psychrerythraea],translation elongation factor G [Colwellia psychrerythraea 34H]	0.797	534	0.003	82	82	11
AAZ26635.1,sp|Q48AW0.1|ATPB_COLP3,WP_011040937.1	ATP synthase F1, beta subunit [Colwellia psychrerythraea 34H],RecName: Full=ATP synthase subunit beta; AltName: Full=ATP synthase F1 sector subunit beta; AltName: Full=F-ATPase subunit beta,MULTISPECIES: F0F1 ATP synthase subunit beta [Colwellia]	0.939	491	0.005	61	61	12
WP_011043026.1,CAR80208.1,CBX83666.1,sp|Q482T5.1|PNP_COLP3,AAZ24926.1	MULTISPECIES: polyribonucleotide nucleotidyltransferase [Colwellia],unnamed protein product [Colwellia psychrerythraea 34H],RecName: Full=Polyribonucleotide nucleotidyltransferase; AltName: Full=Polynucleotide phosphorylase; Short=PNPase,polyribonucleotide nucleotidyltransferase [Colwellia psychrerythraea 34H]	0.763	480	0.003	80	80	13
AAZ26549.1,WP_011044510.1	TonB-dependent receptor [Colwellia psychrerythraea 34H],TonB-dependent receptor plug domain-containing protein [Colwellia psychrerythraea]	0.624	472	0.002	53	53	14
sp|Q48AW2.1|ATPA_COLP3,AAZ26667.1,WP_011040935.1	RecName: Full=ATP synthase subunit alpha; AltName: Full=ATP synthase F1 sector subunit alpha; AltName: Full=F-ATPase subunit alpha,ATP synthase F1, alpha subunit [Colwellia psychrerythraea 34H],MULTISPECIES: F0F1 ATP synthase subunit alpha [Colwellia]	0.749	453	0.004	63	60	15
AAZ26751.1,WP_011045521.1	putative aconitate hydratase [Colwellia psychrerythraea 34H],bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Colwellia psychrerythraea]	0.691	421	0.002	86	86	16
AAZ27953.1,WP_011043690.1	isocitrate dehydrogenase, NADP-dependent [Colwellia psychrerythraea 34H],NADP-dependent isocitrate dehydrogenase [Colwellia psychrerythraea]	0.769	413	0.003	73	70	17
sp|Q482T9.1|IF2_COLP3,WP_011043022.1,AAZ24660.1	RecName: Full=Translation initiation factor IF-2,MULTISPECIES: translation initiation factor IF-2 [Colwellia],translation initiation factor IF-2 [Colwellia psychrerythraea 34H]	0.746	396	0.002	87	87	18
sp|Q485G9.1|EFTS_COLP3,WP_011042390.1,AAZ28329.1	RecName: Full=Elongation factor Ts; Short=EF-Ts,MULTISPECIES: translation elongation factor Ts [Colwellia],translation elongation factor Ts [Colwellia psychrerythraea 34H]	0.904	382	0.006	58	58	19
WP_011045243.1,AAZ25753.1,sp|Q47VL0.1|MDH_COLP3	MULTISPECIES: malate dehydrogenase [Colwellia],malate dehydrogenase [Colwellia psychrerythraea 34H],RecName: Full=Malate dehydrogenase	1.000	366	0.005	38	38	20
AAZ26086.1,WP_011041895.1,sp|Q487G4.1|NAPA_COLP3	periplasmic nitrate reductase, large subunit [Colwellia psychrerythraea 34H],nitrate reductase catalytic subunit NapA [Colwellia psychrerythraea],RecName: Full=Periplasmic nitrate reductase; Flags: Precursor	0.799	362	0.002	77	77	21
WP_011041578.1,AAZ24281.1,sp|Q488N6.1|GLYA1_COLP3	MULTISPECIES: serine hydroxymethyltransferase [Colwellia],serine hydroxymethyltransferase [Colwellia psychrerythraea 34H],RecName: Full=Serine hydroxymethyltransferase 1; Short=SHMT 1; Short=Serine methylase 1	0.857	352	0.004	44	42	22
AAZ27305.1,WP_011042113.1,sp|Q486J6.1|GCSP1_COLP3	glycine dehydrogenase [Colwellia psychrerythraea 34H],aminomethyl-transferring glycine dehydrogenase [Colwellia psychrerythraea],RecName: Full=Glycine dehydrogenase (decarboxylating) 1; AltName: Full=Glycine cleavage system P-protein 1; AltName: Full=Glycine decarboxylase 1; AltName: Full=Glycine dehydrogenase (aminomethyl-transferring) 1	0.627	351	0.002	71	68	23
AAZ27350.1,WP_011041456.1,CAY34444.1	GTP-binding protein TypA [Colwellia psychrerythraea 34H],translational GTPase TypA [Colwellia psychrerythraea],unnamed protein product [Colwellia psychrerythraea 34H]	0.802	348	0.003	61	61	24
WP_011045527.1,AAZ26842.1	pyruvate dehydrogenase (acetyl-transferring), homodimeric type [Colwellia psychrerythraea],pyruvate dehydrogenase complex, E1 component, pyruvate dehydrogenase [Colwellia psychrerythraea 34H]	0.643	342	0.002	76	76	25
sp|Q47XL7.1|TIG_COLP3,AAZ24013.1,WP_011044539.1	RecName: Full=Trigger factor; Short=TF; AltName: Full=PPIase,trigger factor [Colwellia psychrerythraea 34H],trigger factor [Colwellia psychrerythraea]	0.851	337	0.004	59	59	26
WP_011043567.1,AAZ24151.1	MULTISPECIES: alanine dehydrogenase [Colwellia],alanine dehydrogenase [Colwellia psychrerythraea 34H]	0.960	328	0.004	40	40	27
WP_011043036.1,AAZ25640.1	MULTISPECIES: succinate dehydrogenase flavoprotein subunit [Colwellia],succinate dehydrogenase, flavoprotein subunit [Colwellia psychrerythraea 34H]	0.675	319	0.002	58	58	28
AAZ25602.1,WP_011044951.1	nitrite reductase [Colwellia psychrerythraea 34H],cytochrome D1 domain-containing protein [Colwellia psychrerythraea]	0.673	318	0.003	55	55	29
sp|Q482S1.1|SUCC_COLP3,WP_011043040.1,AAZ27906.1	RecName: Full=Succinate--CoA ligase [ADP-forming] subunit beta; AltName: Full=Succinyl-CoA synthetase subunit beta; Short=SCS-beta,MULTISPECIES: ADP-forming succinate--CoA ligase subunit beta [Colwellia],succinyl-CoA synthase, beta subunit [Colwellia psychrerythraea 34H]	0.796	315	0.004	45	45	30
WP_011043103.1,AAZ28321.1	ribonuclease E [Colwellia psychrerythraea],ribonuclease E [Colwellia psychrerythraea 34H]	0.692	310	0.001	71	71	31
WP_011041476.1,AAZ25824.1,sp|Q488Y8.1|RPOA_COLP3	MULTISPECIES: DNA-directed RNA polymerase subunit alpha [Colwellia],DNA-directed RNA polymerase, alpha subunit [Colwellia psychrerythraea 34H],RecName: Full=DNA-directed RNA polymerase subunit alpha; Short=RNAP subunit alpha; AltName: Full=RNA polymerase subunit alpha; AltName: Full=Transcriptase subunit alpha	1.000	307	0.004	45	45	32
WP_011041719.1,sp|Q487Z6.1|RL2_COLP3,AAZ25717.1	MULTISPECIES: 50S ribosomal protein L2 [Colwellia],RecName: Full=Large ribosomal subunit protein uL2; AltName: Full=50S ribosomal protein L2,ribosomal protein L2 [Colwellia psychrerythraea 34H]	0.734	307	0.005	30	30	33
WP_011044508.1,AAZ25767.1	MotA/TolQ/ExbB proton channel family protein [Colwellia psychrerythraea],MotA/TolQ/ExbB proton channel family [Colwellia psychrerythraea 34H]	0.697	302	0.003	42	41	34
WP_011042792.1,AAZ24203.1	outer membrane beta-barrel protein [Colwellia psychrerythraea],putative OmpA family protein [Colwellia psychrerythraea 34H]	0.713	284	0.001	66	66	35
WP_011045140.1,AAZ27814.1	bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA [Colwellia psychrerythraea],bifunctional putA protein [Colwellia psychrerythraea 34H]	0.512	282	0.001	67	67	36
gi|18999435|gb|AAH24292.1|,gi|27503816|gb|AAH42132.1|	(CONTAMINANT) Keratin 5 [Homo sapiens]	0.595	280	0.002	62	40	37
WP_011044218.1,AAZ26026.1	MULTISPECIES: carbamoyl-phosphate synthase large subunit [Colwellia],carbamoyl-phosphate synthase, large subunit [Colwellia psychrerythraea 34H]	0.554	278	0.001	64	64	38
AAZ26115.1,WP_011043038.1	2-oxoglutarate dehydrogenase, E1 component [Colwellia psychrerythraea 34H],2-oxoglutarate dehydrogenase E1 component [Colwellia psychrerythraea]	0.610	273	0.001	61	61	39
AAZ24141.1,WP_011043891.1	polyunsaturated fatty acid synthase PfaA [Colwellia psychrerythraea 34H],type I polyketide synthase [Colwellia psychrerythraea]	0.530	268	4.43e-4	95	95	40
AAZ24824.1,WP_011045497.1,sp|Q47UV6.1|RL1_COLP3	ribosomal protein L1 [Colwellia psychrerythraea 34H],MULTISPECIES: 50S ribosomal protein L1 [Colwellia],RecName: Full=Large ribosomal subunit protein uL1; AltName: Full=50S ribosomal protein L1	0.897	267	0.005	34	34	41
sp|Q47XA7.1|HTPG_COLP3,WP_011044649.1,AAZ28374.1	RecName: Full=Chaperone protein HtpG; AltName: Full=Heat shock protein HtpG; AltName: Full=High temperature protein G,molecular chaperone HtpG [Colwellia psychrerythraea],chaperone protein HtpG [Colwellia psychrerythraea 34H]	0.680	263	0.002	57	57	42
AAZ28215.1,sp|Q47VS0.1|SECA_COLP3,WP_011045183.1	preprotein translocase, SecA subunit [Colwellia psychrerythraea 34H],RecName: Full=Protein translocase subunit SecA,preprotein translocase subunit SecA [Colwellia psychrerythraea]	0.694	245	0.001	69	68	43
gi|27769301|gb|AAH42437.1|	(CONTAMINANT) Keratin 14 [Homo sapiens]	0.667	237	0.002	53	20	44
gi|17512236|gb|AAH19097.1|	(CONTAMINANT) Keratin 14 [Homo sapiens]	0.667	237	0.002	53	20	44
AAZ27062.1,WP_011044509.1	hypothetical protein CPS_3756 [Colwellia psychrerythraea 34H],MULTISPECIES: DUF3450 domain-containing protein [Colwellia]	0.653	236	0.004	34	34	45
WP_011044620.1,CAY37481.1,AAZ28794.1	transketolase [Colwellia psychrerythraea],unnamed protein product [Colwellia psychrerythraea 34H],transketolase [Colwellia psychrerythraea 34H]	0.698	235	0.002	49	49	46
AAZ24034.1,WP_011042558.1	RNA helicase DeaD [Colwellia psychrerythraea 34H],MULTISPECIES: DEAD/DEAH box helicase [Colwellia]	0.535	234	0.002	41	41	47
AAZ28633.1,sp|Q47VD0.1|PCKA_COLP3,WP_011045323.1	phosphoenolpyruvate carboxykinase (ATP) [Colwellia psychrerythraea 34H],RecName: Full=Phosphoenolpyruvate carboxykinase (ATP); Short=PCK; Short=PEP carboxykinase; Short=PEPCK,MULTISPECIES: phosphoenolpyruvate carboxykinase (ATP) [Colwellia]	0.871	233	0.002	52	52	48
AAZ28657.1,WP_011044234.1	antioxidant, AhpC/Tsa family [Colwellia psychrerythraea 34H],MULTISPECIES: peroxiredoxin [Colwellia]	0.846	233	0.005	24	24	49
WP_011044429.1,AAZ24314.1	phosphoribosylformylglycinamidine synthase [Colwellia psychrerythraea],phosphoribosylformylglycinamidine synthase [Colwellia psychrerythraea 34H]	0.618	233	8.07e-4	66	66	50
sp|Q47XX7.2|PUR4_COLP3	RecName: Full=Phosphoribosylformylglycinamidine synthase; Short=FGAM synthase; Short=FGAMS; AltName: Full=Formylglycinamide ribonucleotide amidotransferase; Short=FGAR amidotransferase; Short=FGAR-AT	0.620	233	8.09e-4	66	66	50
WP_011041463.1,sp|Q489A1.1|RL5_COLP3,AAZ26957.1	MULTISPECIES: 50S ribosomal protein L5 [Colwellia],RecName: Full=Large ribosomal subunit protein uL5; AltName: Full=50S ribosomal protein L5,ribosomal protein L5 [Colwellia psychrerythraea 34H]	0.818	229	0.006	28	28	51
WP_011041722.1,sp|Q487Z3.1|RL3_COLP3,AAZ24808.1	MULTISPECIES: 50S ribosomal protein L3 [Colwellia],RecName: Full=Large ribosomal subunit protein uL3; AltName: Full=50S ribosomal protein L3,ribosomal protein L3 [Colwellia psychrerythraea 34H]	0.802	229	0.005	25	25	52
AAZ26507.1,WP_011044699.1	acetyl-CoA synthetase [Colwellia psychrerythraea 34H],acetate--CoA ligase [Colwellia psychrerythraea]	0.704	228	0.002	43	42	53
gi|136429|sp|P00761|TRYP_PIG	(CONTAMINANT) Trypsin precursor	0.165	228	0.005	3	3	54
WP_011040936.1,AAZ28379.1,sp|Q48AW1.1|ATPG_COLP3	MULTISPECIES: F0F1 ATP synthase subunit gamma [Colwellia],ATP synthase F1, gamma subunit [Colwellia psychrerythraea 34H],RecName: Full=ATP synthase gamma chain; AltName: Full=ATP synthase F1 sector gamma subunit; AltName: Full=F-ATPase gamma subunit	0.923	227	0.004	38	38	55
WP_011045496.1,sp|Q47UV7.1|RL10_COLP3,AAZ27868.1	MULTISPECIES: 50S ribosomal protein L10 [Colwellia],RecName: Full=Large ribosomal subunit protein uL10; AltName: Full=50S ribosomal protein L10,ribosomal protein L10 [Colwellia psychrerythraea 34H]	0.902	224	0.006	30	30	56
sp|Q48A17.1|PURA_COLP3,AAZ25616.1,WP_011041203.1	RecName: Full=Adenylosuccinate synthetase; Short=AMPSase; Short=AdSS; AltName: Full=IMP--aspartate ligase,adenylosuccinate synthetase [Colwellia psychrerythraea 34H],MULTISPECIES: adenylosuccinate synthase [Colwellia]	0.914	220	0.002	43	43	57
WP_011043041.1,AAZ27608.1	MULTISPECIES: succinate--CoA ligase subunit alpha [Colwellia],succinyl-CoA synthase, alpha subunit [Colwellia psychrerythraea 34H]	0.655	219	0.003	29	29	58
WP_011041721.1,sp|Q487Z4.1|RL4_COLP3,AAZ25061.1	MULTISPECIES: 50S ribosomal protein L4 [Colwellia],RecName: Full=Large ribosomal subunit protein uL4; AltName: Full=50S ribosomal protein L4,ribosomal protein L4 [Colwellia psychrerythraea 34H]	0.891	218	0.005	26	26	59
WP_011043158.1,AAZ27661.1	MULTISPECIES: glyceraldehyde-3-phosphate dehydrogenase [Colwellia],glyceraldehyde 3-phosphate dehydrogenase, type I [Colwellia psychrerythraea 34H]	0.716	216	0.002	37	37	60
sp|Q488Z8.1|RL6_COLP3,AAZ28521.1,WP_011041466.1	RecName: Full=Large ribosomal subunit protein uL6; AltName: Full=50S ribosomal protein L6,ribosomal protein L6 [Colwellia psychrerythraea 34H],MULTISPECIES: 50S ribosomal protein L6 [Colwellia]	0.910	213	0.006	26	26	61
gi|15559584|gb|AAH14152.1|	(CONTAMINANT) Keratin 6A [Homo sapiens]	0.573	212	0.002	47	0	62
gi|21961227|gb|AAH34535.1|	(CONTAMINANT) Keratin 6B [Homo sapiens]	0.521	212	0.002	43	2	63
gi|46812692|gb|AAH69269.1|	(CONTAMINANT) Keratin 6A [Homo sapiens]	0.551	209	0.002	46	0	64
WP_011041261.1,AAZ24888.1	MULTISPECIES: glutamate--ammonia ligase [Colwellia],glutamine synthetase, type I [Colwellia psychrerythraea 34H]	0.609	208	0.002	35	35	65
AAZ25583.1,WP_011041918.1	NADH:ubiquinone oxidoreductase, Na(+)-translocating, A subunit [Colwellia psychrerythraea 34H],MULTISPECIES: Na(+)-translocating NADH-quinone reductase subunit A [Colwellia]	0.854	205	0.002	41	41	66
WP_011041475.1,AAZ24190.1,sp|Q488Y9.1|RS4_COLP3	MULTISPECIES: 30S ribosomal protein S4 [Colwellia],ribosomal protein S4 [Colwellia psychrerythraea 34H],RecName: Full=Small ribosomal subunit protein uS4; AltName: Full=30S ribosomal protein S4	0.888	205	0.005	32	32	67
WP_011042326.1,AAZ25158.1	flagellin [Colwellia psychrerythraea],flagellin [Colwellia psychrerythraea 34H]	0.370	203	0.002	29	24	68
sp|Q47UV8.1|RL7_COLP3,WP_011045495.1,AAZ26101.1	RecName: Full=Large ribosomal subunit protein bL12; AltName: Full=50S ribosomal protein L7/L12,MULTISPECIES: 50S ribosomal protein L7/L12 [Colwellia],ribosomal protein L7/L12 [Colwellia psychrerythraea 34H]	0.706	203	0.008	17	17	69
AAZ28625.1,WP_011043608.1	NAD-glutamate dehydrogenase family protein [Colwellia psychrerythraea 34H],MULTISPECIES: NAD-glutamate dehydrogenase [Colwellia]	0.430	199	5.63e-4	66	65	70
sp|Q489U1.1|RS6_COLP3,AAZ28210.1,WP_011041276.1	RecName: Full=Small ribosomal subunit protein bS6; AltName: Full=30S ribosomal protein S6,ribosomal protein S6 [Colwellia psychrerythraea 34H],MULTISPECIES: 30S ribosomal protein S6 [Colwellia]	0.874	198	0.006	25	25	71
sp|Q489T8.1|RL9_COLP3,AAZ26192.1,WP_011041279.1	RecName: Full=Large ribosomal subunit protein bL9; AltName: Full=50S ribosomal protein L9,ribosomal protein L9 [Colwellia psychrerythraea 34H],MULTISPECIES: 50S ribosomal protein L9 [Colwellia]	0.953	194	0.006	22	22	72
WP_011045524.1,AAZ23988.1	MULTISPECIES: dihydrolipoyl dehydrogenase [Colwellia],pyruvate dehydrogenase complex, E3 component, dihydrolipoamide dehydrogenase [Colwellia psychrerythraea 34H]	0.662	190	0.002	35	35	73
AAZ26423.1,WP_011043695.1	adenylosuccinate lyase [Colwellia psychrerythraea 34H],adenylosuccinate lyase [Colwellia psychrerythraea]	0.623	188	0.002	36	36	74
AAZ25308.1,WP_011044317.1	ribose-phosphate pyrophosphokinase [Colwellia psychrerythraea 34H],MULTISPECIES: ribose-phosphate pyrophosphokinase [Colwellia]	0.812	186	0.003	30	30	75
WP_011044973.1,AAZ24716.1	MULTISPECIES: IMP dehydrogenase [Colwellia],inosine-5'-monophosphate dehydrogenase [Colwellia psychrerythraea 34H]	0.796	186	0.002	41	41	76
WP_011045491.1,AAZ28103.1,sp|Q47UW2.1|RS7_COLP3	MULTISPECIES: 30S ribosomal protein S7 [Colwellia],ribosomal protein S7 [Colwellia psychrerythraea 34H],RecName: Full=Small ribosomal subunit protein uS7; AltName: Full=30S ribosomal protein S7	0.782	186	0.005	26	26	77
AAZ26130.1,WP_011041489.1	hypothetical protein CPS_0639 [Colwellia psychrerythraea 34H],MULTISPECIES: alginate export family protein [Colwellia]	0.458	184	0.002	29	29	78
WP_011042389.1,AAZ28713.1,sp|Q485H0.1|RS2_COLP3	MULTISPECIES: 30S ribosomal protein S2 [Colwellia],ribosomal protein S2 [Colwellia psychrerythraea 34H],RecName: Full=Small ribosomal subunit protein uS2; AltName: Full=30S ribosomal protein S2	0.822	182	0.003	29	29	79
AAZ27507.1,WP_011041789.1	acetyl-CoA carboxylase, biotin carboxylase [Colwellia psychrerythraea 34H],MULTISPECIES: acetyl-CoA carboxylase biotin carboxylase subunit [Colwellia]	0.683	180	0.002	46	46	80
AAZ27573.1,WP_011044556.1,CBN69246.1,CBN70854.1	3-oxoacyl-(acyl-carrier-protein) synthase I [Colwellia psychrerythraea 34H],MULTISPECIES: beta-ketoacyl-ACP synthase I [Colwellia],unnamed protein product [Colwellia psychrerythraea 34H]	0.826	179	0.002	35	35	81
WP_011041486.1,AAZ25133.1	MULTISPECIES: aspartate aminotransferase family protein [Colwellia],acetylornithine/succinyldiaminopimelate aminotransferase [Colwellia psychrerythraea 34H]	0.764	179	0.002	32	32	82
WP_011041969.1,AAZ24811.1,sp|Q486Z0.1|ISCS_COLP3	MULTISPECIES: IscS subfamily cysteine desulfurase [Colwellia],cysteine desulfurase [Colwellia psychrerythraea 34H],RecName: Full=Cysteine desulfurase IscS	0.752	179	0.002	46	46	83
AAZ25063.1,WP_011045485.1,sp|Q47UW8.1|CYSI_COLP3	sulfite reductase (NADPH) hemoprotein beta-component [Colwellia psychrerythraea 34H],assimilatory sulfite reductase (NADPH) hemoprotein subunit [Colwellia psychrerythraea],RecName: Full=Sulfite reductase [NADPH] hemoprotein beta-component; Short=SiR-HP; Short=SiRHP	0.721	177	0.001	47	47	84
AAZ27128.1,WP_011041582.1	3,4-dihydroxy-2-butanone-4-phosphate synthase [Colwellia psychrerythraea 34H],MULTISPECIES: 3,4-dihydroxy-2-butanone-4-phosphate synthase [Colwellia]	0.688	176	0.002	40	40	85
sp|Q47XL9.1|CLPX_COLP3,WP_011044537.1,AAZ27456.1	RecName: Full=ATP-dependent Clp protease ATP-binding subunit ClpX,MULTISPECIES: ATP-dependent protease ATP-binding subunit ClpX [Colwellia],ATP-dependent Clp protease, ATP-binding subunit ClpX [Colwellia psychrerythraea 34H]	0.840	176	0.002	35	34	86
sp|Q488Z6.1|RS5_COLP3,AAZ24388.1,WP_011041468.1	RecName: Full=Small ribosomal subunit protein uS5; AltName: Full=30S ribosomal protein S5,ribosomal protein S5 [Colwellia psychrerythraea 34H],MULTISPECIES: 30S ribosomal protein S5 [Colwellia]	0.704	175	0.005	23	23	87
WP_011044536.1,AAZ26747.1	MULTISPECIES: endopeptidase La [Colwellia],ATP-dependent protease La [Colwellia psychrerythraea 34H]	0.601	174	0.001	52	52	88
WP_041737089.1	MULTISPECIES: ATP-dependent zinc metalloprotease FtsH [Colwellia]	0.630	174	0.001	48	48	89
AAZ25406.1	ATP-dependent metalloprotease FtsH [Colwellia psychrerythraea 34H]	0.633	174	0.001	48	48	89
AAZ24276.1,WP_011041723.1,sp|Q487Z2.1|RS10_COLP3	ribosomal protein S10 [Colwellia psychrerythraea 34H],MULTISPECIES: 30S ribosomal protein S10 [Colwellia],RecName: Full=Small ribosomal subunit protein uS10; AltName: Full=30S ribosomal protein S10	0.689	172	0.008	24	24	90
AAZ27833.1,WP_011043021.1	transcription termination factor NusA [Colwellia psychrerythraea 34H],MULTISPECIES: transcription termination factor NusA [Colwellia]	0.577	170	0.002	39	39	91
WP_011044648.1,CAY02996.1,AAZ25840.1,sp|Q47XA8.1|KAD_COLP3	MULTISPECIES: adenylate kinase [Colwellia],unnamed protein product [Colwellia psychrerythraea 34H],adenylate kinase [Colwellia psychrerythraea 34H],RecName: Full=Adenylate kinase; Short=AK; AltName: Full=ATP-AMP transphosphorylase; AltName: Full=ATP:AMP phosphotransferase; AltName: Full=Adenylate monophosphate kinase	0.935	170	0.004	31	31	92
sp|Q488Z9.1|RS8_COLP3,WP_011041465.1,AAZ28152.1	RecName: Full=Small ribosomal subunit protein uS8; AltName: Full=30S ribosomal protein S8,MULTISPECIES: 30S ribosomal protein S8 [Colwellia],ribosomal protein S8 [Colwellia psychrerythraea 34H]	0.814	169	0.006	21	21	93
WP_011043039.1,AAZ28556.1	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase [Colwellia psychrerythraea],2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase [Colwellia psychrerythraea 34H]	0.580	167	0.002	33	33	94
WP_011043689.1,AAZ24108.1	MULTISPECIES: NADP-dependent isocitrate dehydrogenase [Colwellia],isocitrate dehydrogenase, NADP-dependent [Colwellia psychrerythraea 34H]	0.750	167	0.002	36	36	95
gi|24659602|gb|AAH39169.1|	(CONTAMINANT) Keratin 16 [Homo sapiens]	0.702	167	0.002	43	23	96
AAZ24998.1,WP_011043600.1	asparagine synthase (glutamine-hydrolyzing) [Colwellia psychrerythraea 34H],MULTISPECIES: asparagine synthase B [Colwellia]	0.655	163	0.001	36	36	97
AAZ28818.1,WP_011042564.1	peptidoglycan-associated lipoprotein [Colwellia psychrerythraea 34H],MULTISPECIES: peptidoglycan-associated lipoprotein Pal [Colwellia]	0.592	163	0.004	25	25	98
WP_011041887.1,AAZ26888.1	sodium-extruding oxaloacetate decarboxylase subunit alpha [Colwellia psychrerythraea],oxaloacetate decarboxylase, alpha subunit [Colwellia psychrerythraea 34H]	0.769	162	0.001	42	42	99
WP_011041923.1,AAZ27357.1	NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Colwellia psychrerythraea],NADH:ubiquinone oxidoreductase, Na(+)-translocating, F subunit [Colwellia psychrerythraea 34H]	0.629	162	0.002	32	32	100
sp|Q483C7.1|SYDND_COLP3,WP_011042934.1,AAZ24374.1	RecName: Full=Aspartate--tRNA(Asp/Asn) ligase; AltName: Full=Aspartyl-tRNA synthetase; Short=AspRS; AltName: Full=Non-discriminating aspartyl-tRNA synthetase; Short=ND-AspRS,aspartate--tRNA ligase [Colwellia psychrerythraea],aspartyl-tRNA synthetase [Colwellia psychrerythraea 34H]	0.646	160	0.001	39	39	101
AAZ26513.1,sp|Q488Q1.1|FABV_COLP3,WP_011041563.1	hypothetical protein CPS_0713 [Colwellia psychrerythraea 34H],RecName: Full=Enoyl-[acyl-carrier-protein] reductase [NADH]; Short=ENR,enoyl-ACP reductase FabV [Colwellia psychrerythraea]	0.813	158	0.002	31	31	102
WP_011043799.1,AAZ27896.1	phosphoenolpyruvate synthase [Colwellia psychrerythraea],phosphoenolpyruvate synthase [Colwellia psychrerythraea 34H]	0.523	158	9.11e-4	49	49	103
WP_011045525.1,AAZ24663.1	dihydrolipoyllysine-residue acetyltransferase [Colwellia psychrerythraea],pyruvate dehydrogenase complex, E2 component, dihydrolipoamide acetyltransferase [Colwellia psychrerythraea 34H]	0.576	157	0.001	37	37	104
AAZ28281.1,WP_011043142.1	ribonucleoside-diphosphate reductase, alpha subunit [Colwellia psychrerythraea 34H],class 1a ribonucleoside-diphosphate reductase subunit alpha [Colwellia psychrerythraea]	0.601	155	9.40e-4	43	43	105
WP_041737140.1	M3 family metallopeptidase [Colwellia psychrerythraea]	0.578	155	9.73e-4	38	38	106
AAZ24659.1	peptidyl-dipeptidase Dcp [Colwellia psychrerythraea 34H]	0.566	155	9.53e-4	38	38	106
WP_011044631.1,AAZ26210.1	MULTISPECIES: energy-dependent translational throttle protein EttA [Colwellia],ABC transporter, ATP-binding protein [Colwellia psychrerythraea 34H]	0.767	153	0.001	44	44	107
