Protein(s)	Protein Description(s)	Sequence Coverage	PSMs	NSAF	Distinct Peptides	Unique Peptides	Protein Group Number
WP_011041463.1,sp|Q489A1.1|RL5_COLP3,AAZ26957.1	MULTISPECIES: 50S ribosomal protein L5 [Colwellia],RecName: Full=Large ribosomal subunit protein uL5; AltName: Full=50S ribosomal protein L5,ribosomal protein L5 [Colwellia psychrerythraea 34H]	0.807	292	0.006	24	24	36
AAZ26507.1,WP_011044699.1	acetyl-CoA synthetase [Colwellia psychrerythraea 34H],acetate--CoA ligase [Colwellia psychrerythraea]	0.755	289	0.002	44	43	37
WP_011041476.1,AAZ25824.1,sp|Q488Y8.1|RPOA_COLP3	MULTISPECIES: DNA-directed RNA polymerase subunit alpha [Colwellia],DNA-directed RNA polymerase, alpha subunit [Colwellia psychrerythraea 34H],RecName: Full=DNA-directed RNA polymerase subunit alpha; Short=RNAP subunit alpha; AltName: Full=RNA polymerase subunit alpha; AltName: Full=Transcriptase subunit alpha	0.951	282	0.003	38	38	38
sp|Q489U1.1|RS6_COLP3,AAZ28210.1,WP_011041276.1	RecName: Full=Small ribosomal subunit protein bS6; AltName: Full=30S ribosomal protein S6,ribosomal protein S6 [Colwellia psychrerythraea 34H],MULTISPECIES: 30S ribosomal protein S6 [Colwellia]	0.895	281	0.008	26	26	39
WP_011044508.1,AAZ25767.1	MotA/TolQ/ExbB proton channel family protein [Colwellia psychrerythraea],MotA/TolQ/ExbB proton channel family [Colwellia psychrerythraea 34H]	0.670	273	0.002	33	32	40
WP_011044218.1,AAZ26026.1	MULTISPECIES: carbamoyl-phosphate synthase large subunit [Colwellia],carbamoyl-phosphate synthase, large subunit [Colwellia psychrerythraea 34H]	0.563	272	0.001	58	58	41
WP_011041719.1,sp|Q487Z6.1|RL2_COLP3,AAZ25717.1	MULTISPECIES: 50S ribosomal protein L2 [Colwellia],RecName: Full=Large ribosomal subunit protein uL2; AltName: Full=50S ribosomal protein L2,ribosomal protein L2 [Colwellia psychrerythraea 34H]	0.661	270	0.004	23	23	42
AAZ28215.1,sp|Q47VS0.1|SECA_COLP3,WP_011045183.1	preprotein translocase, SecA subunit [Colwellia psychrerythraea 34H],RecName: Full=Protein translocase subunit SecA,preprotein translocase subunit SecA [Colwellia psychrerythraea]	0.729	264	0.001	63	62	43
WP_011044429.1,AAZ24314.1	phosphoribosylformylglycinamidine synthase [Colwellia psychrerythraea],phosphoribosylformylglycinamidine synthase [Colwellia psychrerythraea 34H]	0.672	253	7.70e-4	68	68	44
sp|Q47XX7.2|PUR4_COLP3	RecName: Full=Phosphoribosylformylglycinamidine synthase; Short=FGAM synthase; Short=FGAMS; AltName: Full=Formylglycinamide ribonucleotide amidotransferase; Short=FGAR amidotransferase; Short=FGAR-AT	0.673	253	7.72e-4	68	68	44
WP_011041722.1,sp|Q487Z3.1|RL3_COLP3,AAZ24808.1	MULTISPECIES: 50S ribosomal protein L3 [Colwellia],RecName: Full=Large ribosomal subunit protein uL3; AltName: Full=50S ribosomal protein L3,ribosomal protein L3 [Colwellia psychrerythraea 34H]	0.769	251	0.005	23	23	45
WP_011044620.1,CAY37481.1,AAZ28794.1	transketolase [Colwellia psychrerythraea],unnamed protein product [Colwellia psychrerythraea 34H],transketolase [Colwellia psychrerythraea 34H]	0.681	248	0.002	49	49	46
AAZ24034.1,WP_011042558.1	RNA helicase DeaD [Colwellia psychrerythraea 34H],MULTISPECIES: DEAD/DEAH box helicase [Colwellia]	0.630	247	0.002	43	43	47
WP_011042389.1,AAZ28713.1,sp|Q485H0.1|RS2_COLP3	MULTISPECIES: 30S ribosomal protein S2 [Colwellia],ribosomal protein S2 [Colwellia psychrerythraea 34H],RecName: Full=Small ribosomal subunit protein uS2; AltName: Full=30S ribosomal protein S2	0.839	246	0.004	30	30	48
gi|39794653|gb|AAH63697.1|	(CONTAMINANT) Keratin 1 [Homo sapiens]	0.671	243	0.002	53	1	49
gi|1346343|sp|P04264|K2C1_HUMAN	(CONTAMINANT) Keratin, type II cytoskeletal 1 (Cytokeratin 1) (K1) (CK 1) (67 kDa cytokeratin) (Hair alpha protein)	0.657	240	0.002	52	0	50
WP_011043158.1,AAZ27661.1	MULTISPECIES: glyceraldehyde-3-phosphate dehydrogenase [Colwellia],glyceraldehyde 3-phosphate dehydrogenase, type I [Colwellia psychrerythraea 34H]	0.745	232	0.002	36	36	51
WP_011045524.1,AAZ23988.1	MULTISPECIES: dihydrolipoyl dehydrogenase [Colwellia],pyruvate dehydrogenase complex, E3 component, dihydrolipoamide dehydrogenase [Colwellia psychrerythraea 34H]	0.673	231	0.002	39	39	52
AAZ24824.1,WP_011045497.1,sp|Q47UV6.1|RL1_COLP3	ribosomal protein L1 [Colwellia psychrerythraea 34H],MULTISPECIES: 50S ribosomal protein L1 [Colwellia],RecName: Full=Large ribosomal subunit protein uL1; AltName: Full=50S ribosomal protein L1	0.789	228	0.004	27	27	53
AAZ26130.1,WP_011041489.1	hypothetical protein CPS_0639 [Colwellia psychrerythraea 34H],MULTISPECIES: alginate export family protein [Colwellia]	0.527	225	0.002	28	28	54
WP_011044972.1,sp|Q47WD1.1|GUAA_COLP3,AAZ25415.1	MULTISPECIES: glutamine-hydrolyzing GMP synthase [Colwellia],RecName: Full=GMP synthase [glutamine-hydrolyzing]; AltName: Full=GMP synthetase; AltName: Full=Glutamine amidotransferase,GMP synthase [Colwellia psychrerythraea 34H]	0.920	219	0.002	47	47	55
WP_011040936.1,AAZ28379.1,sp|Q48AW1.1|ATPG_COLP3	MULTISPECIES: F0F1 ATP synthase subunit gamma [Colwellia],ATP synthase F1, gamma subunit [Colwellia psychrerythraea 34H],RecName: Full=ATP synthase gamma chain; AltName: Full=ATP synthase F1 sector gamma subunit; AltName: Full=F-ATPase gamma subunit	0.878	218	0.003	34	34	56
WP_011041261.1,AAZ24888.1	MULTISPECIES: glutamate--ammonia ligase [Colwellia],glutamine synthetase, type I [Colwellia psychrerythraea 34H]	0.598	216	0.002	35	35	57
WP_011044973.1,AAZ24716.1	MULTISPECIES: IMP dehydrogenase [Colwellia],inosine-5'-monophosphate dehydrogenase [Colwellia psychrerythraea 34H]	0.843	216	0.002	46	46	58
AAZ25583.1,WP_011041918.1	NADH:ubiquinone oxidoreductase, Na(+)-translocating, A subunit [Colwellia psychrerythraea 34H],MULTISPECIES: Na(+)-translocating NADH-quinone reductase subunit A [Colwellia]	0.834	212	0.002	39	39	59
WP_011045491.1,AAZ28103.1,sp|Q47UW2.1|RS7_COLP3	MULTISPECIES: 30S ribosomal protein S7 [Colwellia],ribosomal protein S7 [Colwellia psychrerythraea 34H],RecName: Full=Small ribosomal subunit protein uS7; AltName: Full=30S ribosomal protein S7	0.782	210	0.005	22	22	60
WP_011043689.1,AAZ24108.1	MULTISPECIES: NADP-dependent isocitrate dehydrogenase [Colwellia],isocitrate dehydrogenase, NADP-dependent [Colwellia psychrerythraea 34H]	0.673	208	0.002	33	33	61
AAZ28281.1,WP_011043142.1	ribonucleoside-diphosphate reductase, alpha subunit [Colwellia psychrerythraea 34H],class 1a ribonucleoside-diphosphate reductase subunit alpha [Colwellia psychrerythraea]	0.646	207	0.001	42	42	62
sp|Q48A17.1|PURA_COLP3,AAZ25616.1,WP_011041203.1	RecName: Full=Adenylosuccinate synthetase; Short=AMPSase; Short=AdSS; AltName: Full=IMP--aspartate ligase,adenylosuccinate synthetase [Colwellia psychrerythraea 34H],MULTISPECIES: adenylosuccinate synthase [Colwellia]	0.879	207	0.002	37	37	63
AAZ27062.1,WP_011044509.1	hypothetical protein CPS_3756 [Colwellia psychrerythraea 34H],MULTISPECIES: DUF3450 domain-containing protein [Colwellia]	0.761	206	0.003	30	30	64
AAZ28633.1,sp|Q47VD0.1|PCKA_COLP3,WP_011045323.1	phosphoenolpyruvate carboxykinase (ATP) [Colwellia psychrerythraea 34H],RecName: Full=Phosphoenolpyruvate carboxykinase (ATP); Short=PCK; Short=PEP carboxykinase; Short=PEPCK,MULTISPECIES: phosphoenolpyruvate carboxykinase (ATP) [Colwellia]	0.856	203	0.002	47	47	65
WP_011041475.1,AAZ24190.1,sp|Q488Y9.1|RS4_COLP3	MULTISPECIES: 30S ribosomal protein S4 [Colwellia],ribosomal protein S4 [Colwellia psychrerythraea 34H],RecName: Full=Small ribosomal subunit protein uS4; AltName: Full=30S ribosomal protein S4	0.709	203	0.004	21	21	66
WP_011045525.1,AAZ24663.1	dihydrolipoyllysine-residue acetyltransferase [Colwellia psychrerythraea],pyruvate dehydrogenase complex, E2 component, dihydrolipoamide acetyltransferase [Colwellia psychrerythraea 34H]	0.579	203	0.001	34	34	67
AAZ28657.1,WP_011044234.1	antioxidant, AhpC/Tsa family [Colwellia psychrerythraea 34H],MULTISPECIES: peroxiredoxin [Colwellia]	0.811	201	0.004	20	20	68
gi|21961605|gb|AAH34697.1|	(CONTAMINANT) Keratin 10 [Homo sapiens]	0.640	201	0.001	42	37	69
AAZ24998.1,WP_011043600.1	asparagine synthase (glutamine-hydrolyzing) [Colwellia psychrerythraea 34H],MULTISPECIES: asparagine synthase B [Colwellia]	0.735	200	0.001	43	43	70
WP_011043039.1,AAZ28556.1	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase [Colwellia psychrerythraea],2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase [Colwellia psychrerythraea 34H]	0.574	200	0.002	35	35	71
WP_011044536.1,AAZ26747.1	MULTISPECIES: endopeptidase La [Colwellia],ATP-dependent protease La [Colwellia psychrerythraea 34H]	0.701	200	0.001	62	62	72
WP_011041721.1,sp|Q487Z4.1|RL4_COLP3,AAZ25061.1	MULTISPECIES: 50S ribosomal protein L4 [Colwellia],RecName: Full=Large ribosomal subunit protein uL4; AltName: Full=50S ribosomal protein L4,ribosomal protein L4 [Colwellia psychrerythraea 34H]	0.806	198	0.004	20	20	73
WP_011043041.1,AAZ27608.1	MULTISPECIES: succinate--CoA ligase subunit alpha [Colwellia],succinyl-CoA synthase, alpha subunit [Colwellia psychrerythraea 34H]	0.614	198	0.003	21	21	74
WP_011043799.1,AAZ27896.1	phosphoenolpyruvate synthase [Colwellia psychrerythraea],phosphoenolpyruvate synthase [Colwellia psychrerythraea 34H]	0.547	194	9.82e-4	48	48	75
WP_011045258.1,AAZ24616.1	MULTISPECIES: cold-shock protein [Colwellia],cold-shock DNA-binding domain family protein [Colwellia psychrerythraea 34H]	0.912	193	0.011	6	6	76
AAZ26423.1,WP_011043695.1	adenylosuccinate lyase [Colwellia psychrerythraea 34H],adenylosuccinate lyase [Colwellia psychrerythraea]	0.724	191	0.002	34	34	77
WP_011041486.1,AAZ25133.1	MULTISPECIES: aspartate aminotransferase family protein [Colwellia],acetylornithine/succinyldiaminopimelate aminotransferase [Colwellia psychrerythraea 34H]	0.881	191	0.002	31	31	78
sp|Q488Z9.1|RS8_COLP3,WP_011041465.1,AAZ28152.1	RecName: Full=Small ribosomal subunit protein uS8; AltName: Full=30S ribosomal protein S8,MULTISPECIES: 30S ribosomal protein S8 [Colwellia],ribosomal protein S8 [Colwellia psychrerythraea 34H]	0.744	191	0.006	19	19	79
WP_011042326.1,AAZ25158.1	flagellin [Colwellia psychrerythraea],flagellin [Colwellia psychrerythraea 34H]	0.370	189	0.001	23	18	80
WP_011045676.1,AAZ24445.1	S9 family peptidase [Colwellia psychrerythraea],hypothetical protein CPS_4957 [Colwellia psychrerythraea 34H]	0.658	188	0.001	49	49	81
WP_041737089.1	MULTISPECIES: ATP-dependent zinc metalloprotease FtsH [Colwellia]	0.624	186	0.001	49	49	82
AAZ25406.1	ATP-dependent metalloprotease FtsH [Colwellia psychrerythraea 34H]	0.627	186	0.001	49	49	82
AAZ25958.1,WP_011043145.1	DNA gyrase, A subunit [Colwellia psychrerythraea 34H],DNA topoisomerase (ATP-hydrolyzing) subunit A [Colwellia psychrerythraea]	0.586	185	8.20e-4	50	24	83
AAZ28435.1,WP_011041716.1,sp|Q487Z9.1|RS3_COLP3	ribosomal protein S3 [Colwellia psychrerythraea 34H],MULTISPECIES: 30S ribosomal protein S3 [Colwellia],RecName: Full=Small ribosomal subunit protein uS3; AltName: Full=30S ribosomal protein S3	0.662	185	0.003	21	21	84
AAZ25063.1,WP_011045485.1,sp|Q47UW8.1|CYSI_COLP3	sulfite reductase (NADPH) hemoprotein beta-component [Colwellia psychrerythraea 34H],assimilatory sulfite reductase (NADPH) hemoprotein subunit [Colwellia psychrerythraea],RecName: Full=Sulfite reductase [NADPH] hemoprotein beta-component; Short=SiR-HP; Short=SiRHP	0.728	184	0.001	44	44	85
AAZ26716.1,WP_011042913.1	polysaccharide biosynthesis protein [Colwellia psychrerythraea 34H],UDP-N-acetylglucosamine 4,6-dehydratase (inverting) [Colwellia psychrerythraea]	0.798	184	0.002	33	33	86
AAZ28743.1,WP_011041999.1	tonB-dependent vitamin B12 receptor [Colwellia psychrerythraea 34H],TonB-dependent receptor domain-containing protein [Colwellia psychrerythraea]	0.828	183	0.001	33	33	87
WP_011041969.1,AAZ24811.1,sp|Q486Z0.1|ISCS_COLP3	MULTISPECIES: IscS subfamily cysteine desulfurase [Colwellia],cysteine desulfurase [Colwellia psychrerythraea 34H],RecName: Full=Cysteine desulfurase IscS	0.718	179	0.002	40	40	88
AAZ27573.1,WP_011044556.1,CBN69246.1,CBN70854.1	3-oxoacyl-(acyl-carrier-protein) synthase I [Colwellia psychrerythraea 34H],MULTISPECIES: beta-ketoacyl-ACP synthase I [Colwellia],unnamed protein product [Colwellia psychrerythraea 34H]	0.811	177	0.002	34	34	89
WP_011045496.1,sp|Q47UV7.1|RL10_COLP3,AAZ27868.1	MULTISPECIES: 50S ribosomal protein L10 [Colwellia],RecName: Full=Large ribosomal subunit protein uL10; AltName: Full=50S ribosomal protein L10,ribosomal protein L10 [Colwellia psychrerythraea 34H]	0.787	177	0.004	17	17	90
sp|Q488Z8.1|RL6_COLP3,AAZ28521.1,WP_011041466.1	RecName: Full=Large ribosomal subunit protein uL6; AltName: Full=50S ribosomal protein L6,ribosomal protein L6 [Colwellia psychrerythraea 34H],MULTISPECIES: 50S ribosomal protein L6 [Colwellia]	0.876	177	0.004	18	18	91
sp|Q489T8.1|RL9_COLP3,AAZ26192.1,WP_011041279.1	RecName: Full=Large ribosomal subunit protein bL9; AltName: Full=50S ribosomal protein L9,ribosomal protein L9 [Colwellia psychrerythraea 34H],MULTISPECIES: 50S ribosomal protein L9 [Colwellia]	0.853	176	0.005	15	15	92
sp|Q488Z6.1|RS5_COLP3,AAZ24388.1,WP_011041468.1	RecName: Full=Small ribosomal subunit protein uS5; AltName: Full=30S ribosomal protein S5,ribosomal protein S5 [Colwellia psychrerythraea 34H],MULTISPECIES: 30S ribosomal protein S5 [Colwellia]	0.686	175	0.004	18	18	93
AAZ27833.1,WP_011043021.1	transcription termination factor NusA [Colwellia psychrerythraea 34H],MULTISPECIES: transcription termination factor NusA [Colwellia]	0.521	173	0.001	38	38	94
AAZ28619.1,WP_011045064.1	RNA polymerase sigma-70 factor [Colwellia psychrerythraea 34H],MULTISPECIES: RNA polymerase sigma factor RpoD [Colwellia]	0.532	173	0.001	38	37	95
sp|Q483C7.1|SYDND_COLP3,WP_011042934.1,AAZ24374.1	RecName: Full=Aspartate--tRNA(Asp/Asn) ligase; AltName: Full=Aspartyl-tRNA synthetase; Short=AspRS; AltName: Full=Non-discriminating aspartyl-tRNA synthetase; Short=ND-AspRS,aspartate--tRNA ligase [Colwellia psychrerythraea],aspartyl-tRNA synthetase [Colwellia psychrerythraea 34H]	0.659	170	0.001	42	42	96
AAZ27507.1,WP_011041789.1	acetyl-CoA carboxylase, biotin carboxylase [Colwellia psychrerythraea 34H],MULTISPECIES: acetyl-CoA carboxylase biotin carboxylase subunit [Colwellia]	0.585	167	0.002	33	33	97
WP_041737140.1	M3 family metallopeptidase [Colwellia psychrerythraea]	0.553	167	9.21e-4	36	36	98
AAZ24659.1	peptidyl-dipeptidase Dcp [Colwellia psychrerythraea 34H]	0.542	167	9.01e-4	36	36	98
WP_011040995.1,AAZ24696.1	glycine C-acetyltransferase [Colwellia psychrerythraea],2-amino-3-ketobutyrate coenzyme A ligase [Colwellia psychrerythraea 34H]	0.801	166	0.002	33	33	99
WP_011044318.1,sp|Q47Y88.1|RL25_COLP3,AAZ26147.1	MULTISPECIES: 50S ribosomal protein L25/general stress protein Ctc [Colwellia],RecName: Full=Large ribosomal subunit protein bL25; AltName: Full=50S ribosomal protein L25; AltName: Full=General stress protein CTC,ribosomal 5S rRNA E-loop binding protein Ctc/L25/TL5 [Colwellia psychrerythraea 34H]	0.692	166	0.003	12	12	100
sp|Q47XL9.1|CLPX_COLP3,WP_011044537.1,AAZ27456.1	RecName: Full=ATP-dependent Clp protease ATP-binding subunit ClpX,MULTISPECIES: ATP-dependent protease ATP-binding subunit ClpX [Colwellia],ATP-dependent Clp protease, ATP-binding subunit ClpX [Colwellia psychrerythraea 34H]	0.818	166	0.002	33	32	101
WP_011044631.1,AAZ26210.1	MULTISPECIES: energy-dependent translational throttle protein EttA [Colwellia],ABC transporter, ATP-binding protein [Colwellia psychrerythraea 34H]	0.723	165	0.001	39	39	102
AAZ26977.1,WP_011043033.1	citrate synthase I [Colwellia psychrerythraea 34H],MULTISPECIES: citrate synthase [Colwellia]	0.694	161	0.002	33	33	103
AAZ25755.1,WP_011042069.1	isocitrate lyase [Colwellia psychrerythraea 34H],MULTISPECIES: isocitrate lyase [Colwellia]	0.693	160	0.001	39	39	104
WP_011040894.1,AAZ27440.1	DNA topoisomerase (ATP-hydrolyzing) subunit B [Colwellia psychrerythraea],DNA gyrase, B subunit [Colwellia psychrerythraea 34H]	0.548	160	7.91e-4	44	44	105
WP_011041923.1,AAZ27357.1	NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Colwellia psychrerythraea],NADH:ubiquinone oxidoreductase, Na(+)-translocating, F subunit [Colwellia psychrerythraea 34H]	0.646	160	0.002	31	31	106
